variant,sensitive_in_model,roc_auc,threshold,expected_cost,decline_rate,dp_diff_sex,eo_diff_sex,dp_diff_age_group,eo_diff_age_group
none,none,0.7596357142857143,0.2,0.585,0.609,0.024357176250584422,0.04736058408184829,0.17931998136935257,0.19423503325942354
sex,sex,0.7615404761904763,0.2,0.59,0.596,0.10864890135577376,0.11819659218935386,0.22165812761993475,0.23680709534368077
age,age,0.7622809523809523,0.19,0.581,0.629,0.05614773258532024,0.05213411898423714,0.34141876430205953,0.4126385809312639
sex+age,"sex,age",0.7648952380952382,0.18,0.571,0.643,0.1200093501636279,0.12980189234189776,0.3568234746157428,0.42483370288248334
